date,Dsté
1/1/2023,1700
1/2/2023,1672
1/3/2023,1700
1/4/2023,1702
1/5/2023,1705
1/6/2023,1702
1/7/2023,1696
1/8/2023,1684
1/9/2023,1682
1/10/2023,1670
1/11/2023,1674
1/12/2023,1682
1/13/2023,1686
1/14/2023,1681
1/15/2023,1668
1/16/2023,1664
1/17/2023,1678
1/18/2023,1684
1/19/2023,
1/20/2023,
1/21/2023,
1/22/2023,
1/23/2023,
1/24/2023,
1/25/2023,1689
1/26/2023,1693
1/27/2023,1685
1/28/2023,1695
1/29/2023,1685
1/30/2023,1679
1/31/2023,1690
2/1/2023,1686
2/2/2023,1683
2/3/2023,1686
2/4/2023,1678
2/5/2023,1683
2/6/2023,1688
2/7/2023,1686
2/8/2023,1680
2/9/2023,
2/10/2023,1663
2/11/2023,1667
2/12/2023,1636
2/13/2023,1671
2/14/2023,1675
2/15/2023,1677
2/16/2023,1673
2/17/2023,1686
2/18/2023,1699
2/19/2023,1692
2/20/2023,1697
2/21/2023,1689
2/22/2023,1692
2/23/2023,1696
2/24/2023,1690
2/25/2023,1675
2/26/2023,1671
2/27/2023,1676
2/28/2023,1679
3/1/2023,
3/2/2023,
3/3/2023,1594
3/4/2023,1680
3/5/2023,1672
3/6/2023,1663
3/7/2023,1672
3/8/2023,1674
3/9/2023,1675
3/10/2023,1671
3/11/2023,1674
3/12/2023,1668
3/13/2023,1682
3/14/2023,1684
3/15/2023,1679
3/16/2023,1680
3/17/2023,1676
3/18/2023,1677
3/19/2023,1682
3/20/2023,1684
3/21/2023,1679
3/22/2023,1668
3/23/2023,1663
3/24/2023,1665
3/25/2023,1674
3/26/2023,1666
3/27/2023,1641
3/28/2023,1668
3/29/2023,1664
3/30/2023,1654
3/31/2023,
4/1/2023,
4/2/2023,1681
4/3/2023,1682
4/4/2023,1675
4/5/2023,1680
4/6/2023,1681
4/7/2023,1655
4/8/2023,1680
4/9/2023,1682
4/10/2023,1676
4/11/2023,
4/12/2023,1656
4/13/2023,1681
4/14/2023,1680
4/15/2023,1682
4/16/2023,1684
4/17/2023,1685
4/18/2023,1690
4/19/2023,1688
4/20/2023,1672
4/21/2023,1674
4/22/2023,1652
4/23/2023,1665
4/24/2023,1670
4/25/2023,1675
4/26/2023,1662
4/27/2023,1644
4/28/2023,1640
4/29/2023,1622
4/30/2023,1643
5/1/2023,1644
5/2/2023,
5/3/2023,
5/4/2023,
5/5/2023,
5/6/2023,
5/7/2023,
5/8/2023,
5/9/2023,
5/10/2023,
5/11/2023,
5/12/2023,
5/13/2023,
5/14/2023,
5/15/2023,
5/16/2023,1693
5/17/2023,1672
5/18/2023,1656
5/19/2023,1652
5/20/2023,1647
5/21/2023,1648
5/22/2023,1643
5/23/2023,1636
5/24/2023,1640
5/25/2023,1654
5/26/2023,1669
5/27/2023,1677
5/28/2023,1685
5/29/2023,1677
5/30/2023,1658
5/31/2023,1646
6/1/2023,1670
6/2/2023,1654
6/3/2023,1640
6/4/2023,1644
6/5/2023,1656
6/6/2023,1648
6/7/2023,1642
6/8/2023,1644
6/9/2023,1658
6/10/2023,1652
6/11/2023,1668
6/12/2023,1641
6/13/2023,1653
6/14/2023,1668
6/15/2023,1620
6/16/2023,1644
6/17/2023,1656
6/18/2023,1641
6/19/2023,1646
6/20/2023,1658
6/21/2023,1660
6/22/2023,1638
6/23/2023,1635
6/24/2023,1638
6/25/2023,1652
6/26/2023,1648
6/27/2023,1663
6/28/2023,1660
6/29/2023,1659
6/30/2023,1657
7/1/2023,1627
7/2/2023,1626
7/3/2023,1620
7/4/2023,1632
7/5/2023,1640
7/6/2023,1640
7/7/2023,1608
7/8/2023,
7/9/2023,1625
7/10/2023,1630
7/11/2023,1651
7/12/2023,1655
7/13/2023,1659
7/14/2023,
